,OBJECTID,NUEVOS_CASOS,TOTAL_CASOS,TOTAL_MUERTES,TOTAL_RECUPERADOS,FECHA_ACTUALIZACION,GlobalID,NUEVOS_MUERTOS,NUEVO_RECUPERADOS,CLEAN_DAY
37,522,67.0,2776,109,270,1586667600000,1b63a594-5eed-4b4c-8a08-d34d2f68e7b8,9,56,False
38,523,76.0,2852,112,319,1586754000000,4d231d2f-127b-411e-9fdb-78cffacee7f4,3,49,False
39,524,127.0,2979,127,354,1586840400000,107b65d2-569c-4dde-9faa-02968ba72f61,15,35,False
40,525,126.0,3105,131,452,1586926800000,a68bf8c6-44f7-4e49-bc63-f885f50ed160,4,98,False
41,526,128.0,3233,144,550,1587013200000,e0efe85e-fb1c-4ed2-8309-4e7a2568b950,13,98,False
42,527,206.0,3439,153,634,1587099600000,cc450a25-9922-48f1-883a-a8e6556b1d64,9,84,False
43,528,182.0,3621,166,691,1587186000000,9d4772ca-96c3-4113-a2f5-7d03078d8ed1,13,57,False
44,530,171.0,3792,179,711,1587272400000,5296232c-5f4b-4af7-89ca-260913e0a37c,13,20,False
45,531,185.0,3977,189,804,1587358800000,c1df5b16-d5d9-47e0-b350-0045f75ba414,10,93,False
46,532,172.0,4149,196,804,1587445200000,ce7f7e84-9dd7-4513-91f0-463541d8e20d,7,0,False
47,533,207.0,4356,206,870,1587531600000,028ce012-b711-4333-b45e-d5fdf11d642a,10,66,False
48,534,205.0,4561,215,927,1587618000000,87523e21-4d3c-461a-be5f-ab88404e0a7a,9,57,False
49,535,320.0,4881,225,1003,1587704400000,5d477873-241e-4574-afd3-544321cf61df,10,76,False
50,536,261.0,5142,233,1067,1587790800000,3f5da9af-8088-48e9-93a6-b72cb381bfab,8,64,False
51,537,237.0,5379,244,1133,1587877200000,f75c6973-9f9c-4188-9884-8157ce31101a,11,66,False
52,538,218.0,5597,253,1210,1587963600000,5b3cf389-4d93-4c35-b860-e61483687887,9,77,False
53,539,352.0,5949,269,1268,1588050000000,b5879fe5-752b-4c48-ab65-00c2587c218c,16,58,False
54,540,258.0,6211,278,1411,1588136400000,bc35dd92-ba8f-4299-bb23-22dded03d8fa,9,143,False
55,541,296.0,6507,293,1439,1588222800000,3ccef778-5bdb-40f4-8811-95882ab56973,15,28,False
56,542,499.0,7006,314,1551,1588309200000,2bc375f8-c097-4c51-a672-4cad42563380,21,112,False
57,543,279.0,7285,324,1666,1588377600,2b9d7508-4221-444d-9650-cb6e32985a7d,10,115,False
